title,description
Piauí sedia 21º Encontro Nacional de Inteligência Fiscal com a presença de 27 estados,A solenidade de abertura do encontro que prossegue até sextafeira aconteceu na tarde desta terçafeira 2há 12 horas
Secretário Emílio destaca importância do Piauí sediar 21º Encontro Nacional de Inteligência Fiscal,O Piauí sedia entre os dias 2 e 5 de setembro o 21 Encontro Nacional de Inteligência Fiscal ENIF evento que reúne representantes das áreas de intelihá 15 horas
Parnaíba receberá sistema de videomonitoramento com inteligência artificial em outubro,O secretário da Segurança Pública do Piauí Chico Lucas recebeu nesta sextafeira 29 vereadores do município de Parnaíba para apresentar o Sistema de
Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial,O Piauí está na vanguarda da inovação tecnológica no Brasil Segundo o Relatório de Tendências de Gestão de Pessoas 2025 elaborado pela Great Place To Work
Piauí se destaca em IA e conquista 2ª posição no ranking nacional,Piauí se destaca como referência em IA ocupando a segunda posição no país em uso de inteligência artificial por empresas Veja os dados do relatório
Como a inteligência artificial está transformando o mercado de trabalho,O avanço acelerado da inteligência artificial IA já não é mais uma tendência futura mas uma realidade que vem modificando de forma significativa a rotina
Parem as máquinas! A IA tem uma reportagem urgente,Forjado em redações convencionais o experiente jornalista Paulo de Tarso 65 anos torcia o nariz para ferramentas generativas de inteligência artificial
Ministério Público do Piauí e Secretaria de Inteligência Artificial fortalecem parceria,Nessa terçafeira 19 uma reunião foi realizada pelo Ministério Público do Piauí MPPI e a Secretaria Estadual de Inteligência Artificial Economia Digita
"JuLIA, inteligência artificial do TJPI, é entrevistada em podcast",Publicado por Bruna Spíndola Canuto sextafeira 22 de agosto de 2025 Print Friendly PDF  Email A A A sextafeira 22 de agosto de 2025
Piauí cria e regulamenta sistema de policiamento com inteligência artificial,O governador Rafael Fonteles sancionou o Decreto n 24022 de 18 de agosto de 2025 que institui o Sistema de Policiamento por Inteligência Artificial do
Piauí sedia 21º Encontro Nacional de Inteligência Fiscal com a presença de 27 estados,A solenidade de abertura do encontro que prossegue até sextafeira aconteceu na tarde desta terçafeira 2há 12 horas
Secretário Emílio destaca importância do Piauí sediar 21º Encontro Nacional de Inteligência Fiscal,O Piauí sedia entre os dias 2 e 5 de setembro o 21 Encontro Nacional de Inteligência Fiscal ENIF evento que reúne representantes das áreas de intelihá 15 horas
Parnaíba receberá sistema de videomonitoramento com inteligência artificial em outubro,O secretário da Segurança Pública do Piauí Chico Lucas recebeu nesta sextafeira 29 vereadores do município de Parnaíba para apresentar o Sistema de
Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial,O Piauí está na vanguarda da inovação tecnológica no Brasil Segundo o Relatório de Tendências de Gestão de Pessoas 2025 elaborado pela Great Place To Work
Piauí se destaca em IA e conquista 2ª posição no ranking nacional,Piauí se destaca como referência em IA ocupando a segunda posição no país em uso de inteligência artificial por empresas Veja os dados do relatório
